CANDIDATE_ID,ARCHITECTURE,DOMAIN,STATUS,REASON
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,BIOLOGICAL_ALIGNMENT,PASS,Uses the frozen crop-specific windows.
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,CAMPAIGN_ATTRIBUTION_IDENTIFICATION,PASS,Only strictly unambiguous campaign weight contributes.
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,MEASUREMENT_INTERPRETABILITY,PASS,Valid rows represent a full strict unambiguous weighting domain.
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,SIEMBRA_WEIGHT_INTEGRITY,PASS,No ambiguous positive weight or missing required SIEMBRA is accepted.
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,CLIMATE_WINDOW_COMPLETENESS,PASS,Every positive contributing cohort must be complete.
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,TEMPORAL_BOUNDARY_INTEGRITY,PASS,The excluded 2015/2016 layer is explicitly left truncated.
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,DISTRICT_CAMPAIGN_SUPPORT,FAIL,Only 38 of 707 D0 structural keys are strict-valid.
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,SUSCEPTIBILITY_TO_SELECTION,FAIL,Validity selects keys with complete monthly records and no positive ambiguous mass.
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,FUTURE_SCENARIO_COMPATIBILITY,PASS_WITH_LIMITATION,"Construction is reproducible, but strict support is too selective for a primary layer."
E1-C1,EXISTING_B3_STRICT_CAMPAIGN_WEIGHTED_EXPOSURE,REPRODUCIBILITY,PASS,The frozen B3 artifact is byte-deterministic.
