EVIDENCE_ID,DOMAIN,SOURCE_REF,SOURCE_SHA256,EVIDENCE_FACT,INTEGRATION_DECISION,STATUS,NOTES
JC0-E001,C0A_OBJECT_PROVENANCE,5e2b32edba2e4b3eee471c669f427ef9a70fe4b6:outputs/outcome/C0A_EVIDENCE_REGISTRY.csv,82a01d6762050c43ace0726be40227f9d5e21d714f7ba7cf40fca2ccd7fca7c1,C0A file introduced by sibling freeze and read from Git object storage.,IMMUTABLE_SIBLING_INPUT,PASS_ADJUDICATED,The file is not copied into Joint C0.
JC0-E002,C0A_OBJECT_PROVENANCE,5e2b32edba2e4b3eee471c669f427ef9a70fe4b6:outputs/outcome/C0A_OUTCOME_EVIDENCE_REPORT.md,2d1d261a74ba21145797de14d846d53e7383fed77789cc259931c295ee2d40dd,C0A file introduced by sibling freeze and read from Git object storage.,IMMUTABLE_SIBLING_INPUT,PASS_ADJUDICATED,The file is not copied into Joint C0.
JC0-E003,C0A_OBJECT_PROVENANCE,5e2b32edba2e4b3eee471c669f427ef9a70fe4b6:scripts/c0a_outcome_evidence_preflight.py,21ce349cf96aa9d70a393bf067f1a03c9386de1c8a334304a058a36ccdedd994,C0A file introduced by sibling freeze and read from Git object storage.,IMMUTABLE_SIBLING_INPUT,PASS_ADJUDICATED,The file is not copied into Joint C0.
JC0-E004,C0A_OBJECT_PROVENANCE,5e2b32edba2e4b3eee471c669f427ef9a70fe4b6:tests/test_c0a_outcome_evidence_preflight.py,c56522f299f140c14bebd26c02cdb64d4a7373ac06a9d116d8ac44b3f4092220,C0A file introduced by sibling freeze and read from Git object storage.,IMMUTABLE_SIBLING_INPUT,PASS_ADJUDICATED,The file is not copied into Joint C0.
JC0-E005,C0B6_PROVENANCE,config/decision_ontology/reference_configuration_data_master_v1.json,a63ba28bcfb2c6548055bbd385169b149405232b6f65927f4511e0a5198a9aef,C0B6 S1 architecture is frozen at the current base.,IMMUTABLE_ANCESTOR_INPUT,PASS_ADJUDICATED,C0B6 is not reopened.
JC0-E006,OUTCOME_UNIT,C0A_EVIDENCE_REGISTRY,82a01d6762050c43ace0726be40227f9d5e21d714f7ba7cf40fca2ccd7fca7c1,PRODUCCION is metric tonne by institutional convergence.,PRODUCCION_UNIT=METRIC_TONNE,PASS_ADJUDICATED,Exact dictionary omitted the unit; C0A convergence is preserved.
JC0-E007,OUTCOME_UNIT,C0A_EVIDENCE_REGISTRY,82a01d6762050c43ace0726be40227f9d5e21d714f7ba7cf40fca2ccd7fca7c1,YIELD_RAW is production over harvested area.,YIELD_UNIT=TM_PER_HA,PASS_ADJUDICATED,No monthly-yield averaging is authorized.
JC0-E008,PRICE_UNIT,C0A_EVIDENCE_REGISTRY,82a01d6762050c43ace0726be40227f9d5e21d714f7ba7cf40fca2ccd7fca7c1,PRECIO_CHACRA is farm-gate price in soles per kilogram.,PRICE_UNIT=S_PER_KG,PASS_ADJUDICATED,Temporal mapping and real-price treatment remain undefined.
JC0-E009,TRANSIENT_OUTCOME,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,Transient outcome is an Aug-Jul ratio of summed production to summed harvested area.,DEFINED_NOT_BUILT_REQUIRES_OUTCOME_MASTER,PASS_ADJUDICATED,Mean or sum of monthly yields is forbidden.
JC0-E010,PERENNIAL_OUTCOME,data/processed/panel_master.csv,ab9b4ce53c008a1bc3ceb7d3e4c5d617d2544ad48632b747079c33e8b95d1214,Perennial annual YIELD_RAW keys match all valid perennial exposure keys.,AUTHORIZED_FOR_ECONOMETRIC_DESIGN,PASS_ADJUDICATED,VERDE_ACTUAL is not used as productive stock.
JC0-E011,YIELD_AREA_MAPPING,config/decision_ontology/reference_configuration_data_master_v1.json,a63ba28bcfb2c6548055bbd385169b149405232b6f65927f4511e0a5198a9aef,A1/A2 areas are SIEMBRA hectares while yield is per harvested hectare.,REQUIRES_SOWN_TO_HARVESTED_AREA_MAPPING_GATE,PASS_ADJUDICATED,Unit cancellation alone does not certify physical production semantics.
JC0-E012,PRICE_MAPPING,C0A_EVIDENCE_REGISTRY,82a01d6762050c43ace0726be40227f9d5e21d714f7ba7cf40fca2ccd7fca7c1,Observed farm-gate prices are in soles/kg with no frozen temporal or real-price rule.,REQUIRES_PRICE_MAPPING_GATE,PASS_ADJUDICATED,"No annual mean, harvest price, deflator, or future price is invented."
JC0-E013,RISK_SCOPE,config/decision_ontology/reference_configuration_data_master_v1.json,a63ba28bcfb2c6548055bbd385169b149405232b6f65927f4511e0a5198a9aef,C0B6 forbids five-crop A1/A2 aggregation and perennial CVaR cancellation.,A1_A2_RISK_METRIC_SCOPE=TRANSIENT_BLOCK_ONLY,PASS_ADJUDICATED,No risk metric is calculated.
JC0-E014,IDENTIFICATION,JOINT_C0_ADJUDICATION,NOT_APPLICABLE,No stronger causal design is frozen.,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY,PASS_ADJUDICATED,No causal or structural production-function claim.
JC0-E015,SCENARIO_ORDER,JOINT_C0_ADJUDICATION,NOT_APPLICABLE,Econometric design and support characterization precede scenarios.,SCENARIO_MODEL_SEPARATION_REQUIRED,PASS_ADJUDICATED,No scenario tuning may select the model.
JC0-E016,SAMPLE_SUPPORT,FROZEN_RAW_PANEL_AND_EXPOSURE_ARTIFACTS,MULTIPLE_FROZEN_HASHES,RICE: 294 usable outcome observations across 7 periods and 46 districts.,COHERENT_DEFINED_NOT_BUILT_REQUIRES_TRANSIENT_OUTCOME_MASTER,PASS_ADJUDICATED,Complete rectangular grid would contain 322 observations.
JC0-E017,SAMPLE_SUPPORT,FROZEN_RAW_PANEL_AND_EXPOSURE_ARTIFACTS,MULTIPLE_FROZEN_HASHES,MAD: 352 usable outcome observations across 7 periods and 55 districts.,COHERENT_DEFINED_NOT_BUILT_REQUIRES_TRANSIENT_OUTCOME_MASTER,PASS_ADJUDICATED,Complete rectangular grid would contain 385 observations.
JC0-E018,SAMPLE_SUPPORT,FROZEN_RAW_PANEL_AND_EXPOSURE_ARTIFACTS,MULTIPLE_FROZEN_HASHES,MANGO: 255 usable outcome observations across 8 periods and 36 districts.,AUTHORIZED_FOR_ECONOMETRIC_DESIGN,PASS_ADJUDICATED,Complete rectangular grid would contain 288 observations.
JC0-E019,SAMPLE_SUPPORT,FROZEN_RAW_PANEL_AND_EXPOSURE_ARTIFACTS,MULTIPLE_FROZEN_HASHES,LEMON: 311 usable outcome observations across 8 periods and 44 districts.,AUTHORIZED_FOR_ECONOMETRIC_DESIGN,PASS_ADJUDICATED,Complete rectangular grid would contain 352 observations.
JC0-E020,SAMPLE_SUPPORT,FROZEN_RAW_PANEL_AND_EXPOSURE_ARTIFACTS,MULTIPLE_FROZEN_HASHES,BANANA: 390 usable outcome observations across 8 periods and 54 districts.,AUTHORIZED_FOR_ECONOMETRIC_DESIGN,PASS_ADJUDICATED,Complete rectangular grid would contain 432 observations.
