CLAIM_ID,CLAIM,STATUS,EVIDENCE_OR_GATE,ALLOWED_WORDING,FORBIDDEN_WORDING
"S1-C01","Five-crop characterization architecture","AUTHORIZED_NOW","C0B6 and Joint C0 dual-layer freezes","The study is designed to characterize crop-specific climate-yield relationships for the five focal crops, with economic risk retained as a conditional secondary extension.","The focal crops are the major or most important crops, or a five-crop portfolio has been built or optimized."
"S1-C02","Crop-specific climate sensitivity estimates","AUTHORIZED_IF_FUTURE_GATE_PASSES","Primary exposure adjudication, econometric design freeze, estimation, diagnostics, and comparability rules","Estimated climate-yield associations or empirical patterns may be compared under prespecified rules that respect estimand, scale, support, climate channel, phenological window, and temporal architecture.","Raw coefficient magnitudes are directly comparable across crops or one universal response applies to all crops."
"S1-C03","Causal inference","NOT_AUTHORIZED","Joint C0 identification ceiling","Observed associations are compatible with a climate-related empirical response.","Causal effect, treatment effect, impact caused by, or structural climate effect."
"S1-C04","Prospective ENSO 2026-2027 scenario risk","AUTHORIZED_IF_FUTURE_GATE_PASSES","Scenario-generator and post-estimation prediction gates","Under the prespecified prospective ENSO-related scenario bank, simulated yield risk is characterized as a stress context.","The 2026-2027 realization is known, the scenario is a realized forecast, or ICEN directly causes district yield."
"S1-C05","Gross production value","AUTHORIZED_IF_FUTURE_GATE_PASSES","Price temporal mapping and monetary-treatment gates","As a conditional secondary extension, gross production value may be constructed from authorized physical quantities and mapped farm-gate prices.","GVP is a core primary-research-question outcome, economic results already exist, or gross production value equals profit."
"S1-C06","Profit, net return, or welfare","NOT_AUTHORIZED","No cost, margin, behavioral, or welfare evidence","Gross production value is not profit and no welfare interpretation is made.","Profit maximization, net-benefit improvement, or welfare-optimal allocation."
"S1-C07","CVaR or tail-risk results","AUTHORIZED_IF_FUTURE_GATE_PASSES","Post-estimation risk-specification gate; transient reference-comparison scope","A prespecified tail-risk metric may characterize the Rice-MAD transient reference configurations after authorization.","A new CVaR method, current CVaR result, or five-crop CVaR portfolio."
"S1-C08","A1/A2 Rice-MAD comparison","AUTHORIZED_IF_FUTURE_GATE_PASSES","Common scenario bank and reference-comparison gate","Two historically observed Rice-MAD reference configurations are compared under identical scenarios and metrics.","A1 or A2 is optimal, recommended, or certified feasible for the future."
"S1-C09","Five-crop A1/A2 aggregation","NOT_AUTHORIZED","C0B6 and Joint C0 nonaggregation firewall","Perennial crop risks are reported separately from the Rice-MAD reference comparison.","A1/A2 five-crop total value, loss distribution, VaR, or CVaR."
"S1-C10","Continuous crop-allocation optimization","ABANDONED","C0B4 feasibility failure and C0B5 Route B adjudication","The surviving decision layer is a finite stress test of two fixed historical references.","Optimal crop allocation, continuous reallocation, optimizer solution, or efficient frontier."
"S1-C11","District water constraints","NOT_AUTHORIZED","C0B2-C0B5 spatial-hydraulic evidence limits","Water evidence provides context only unless a formal hydraulic gate is reopened.","District crop-water capacity, entitlement, or binding water-allocation constraint."
"S1-C12","Recommended future allocation","NOT_AUTHORIZED","No future feasibility, ranking, behavioral, or policy-implementation gate","Results may inform discussion of relative stress exposure without prescribing allocation.","Adopt, recommend, implement, or mandate A1/A2 crop shares."
"S1-C13","Frozen Rice-MAD campaign outcomes","AUTHORIZED_NOW","D0 freeze commit 1598a09c9a871d81834164d7ee4383e25988d8a5","D0 contains 707 potential Rice-MAD campaign rows, including 646 valid outcomes and 61 preserved invalid rows.","Invalid rows were deleted or yield units/formulas were selected from model performance."
"S1-C14","Crop-specific temporal architecture","AUTHORIZED_NOW","Phenology v1, Climate Exposure, Joint C0, and D0 freezes","Rice and MAD use Aug-Jul agricultural campaigns while perennials retain frozen crop-specific calendar-year contracts.","All five crops share one interchangeable temporal model."
"S1-C15","Literature-gap or firstness claim","NOT_AUTHORIZED","Dedicated literature-gap adjudication has not been completed","The current design addresses a prespecified scientific problem without asserting the state of the literature.","Piura lacks prior research, no previous study exists, or this is the first study."
"S1-C16","Target-crop importance ranking","NOT_AUTHORIZED","Crop importance ranking is not established and is not required for the frozen design","Rice, MAD, Mango, Lemon, and Banana are the five focal crops in the frozen study scope.","These are Piura's five major, largest, leading, or most important crops."
"S1-C17","Cross-crop coefficient comparability","AUTHORIZED_IF_FUTURE_GATE_PASSES","ECONOMETRIC_DESIGN_FREEZE_AND_COMPARABILITY_RULES","Cross-crop patterns may be compared only under prespecified rules with a common or explicitly harmonized estimand and scale.","Raw coefficient magnitudes are directly ranked across incompatible outcomes, scales, samples, channels, windows, or temporal architectures."
"S1-C18","Q1 positioning scores","NOT_AUTHORIZED","Scores are internal design heuristics without empirical or bibliometric validation","Q1 scores are internal governance heuristics used to assess design readiness.","Q1 scores are manuscript evidence, empirical results, validated journal rankings, or publication claims."
