"EVIDENCE_ID","DOMAIN","CLAIM","SOURCE_TIER","SOURCE_AUTHORITY","SOURCE_TITLE","SOURCE_DATE","SOURCE_URL","LOCAL_SOURCE_PATH","SPATIAL_UNIT","TEMPORAL_UNIT","TARGET_CROP","EVIDENCE_STATUS","EVIDENCE_FINDING","LIMITATION","NOTES"
"C0B-E001","DECISION_MAKER","Regional crop and irrigation planning is multi-institutional decision support, not direct command over farmer allocations.","TIER_2","GORE_PIURA_DRAP","Gore Piura aprueba calendario oficial de la Campana Agricola Grande 2025-2026 de arroz y algodon","2025-11-18","https://www.gob.pe/institucion/regionpiura-dra/noticias/1291910-gore-piura-aprueba-calendario-oficial-de-la-campana-agricola-grande-2025-2026-de-los-cultivos-de-arroz-y-algodon","","Agencia Agraria Piura / committee / user commissions","2025-2026 campaign","RICE","SUPPORTED_PRIMARY_OFFICIAL","The calendar was adopted by the PCR committee with ANA, SENAMHI, SENASA, INIA, PECHP, Juntas and Comisiones de Usuarios; user commissions communicate technical dispositions to associates.","Does not show that one regional planner commands all farmer crop choices.","Supports NORMATIVE_REGIONAL_DECISION_SUPPORT."
"C0B-E002","DECISION_MAKER","PCR approval is a regional legal/planning process for irrigated areas of irrigation districts.","TIER_2","GORE_PIURA_DRAP","Resolucion Directoral Regional N. 395-2025/Gobierno Regional Piura-DRA-DR","2025-09-18","https://www.gob.pe/institucion/regionpiura-dra/normas-legales/7251258-n-395-2025-gobierno-regional-piura-dra-dr","","Irrigated area of district/subdistrict of irrigation and Agencias Agrarias","2025-2026 campaign","ALL","SUPPORTED_PRIMARY_OFFICIAL","The resolution cites PCR formulation for irrigated areas of a district of irrigation and approves a regional plan by agency areas.","Does not create district UBIGEO crop maxima and does not prove centralized command authority.","PDF was scanned; visual inspection of pages 5-8 was used."
"C0B-E003","DECISION_MAKER","Water planning is participatory and multisectoral.","TIER_2","ANA","ANA aprueba plan hidrico para garantizar el abastecimiento multisectorial en el sistema Chira Piura","2025-08-11","https://www.gob.pe/institucion/ana/noticias/1224425-ana-aprueba-plan-hidrico-para-garantizar-el-abastecimiento-multisectorial-en-el-sistema-chira-piura","","Hydraulic system Chira Piura / provinces Piura and Sechura","2025-08 to 2026-07","ALL","SUPPORTED_PRIMARY_OFFICIAL","ANA describes the PADH as joint work among user organizations, operators and local authorities.","System planning does not identify district crop allocation authority.","Supports governance context only."
"C0B-E004","LAND","AREA_HA in land_physical.csv represents physical agricultural footprint by district.","TIER_1","MIDAGRI_DGESEP","Mapa Nacional de Superficie Agricola 2024 as processed in land_physical.csv","2024","https://www.gob.pe/institucion/midagri/noticias/1102269-midagri-publica-actualizacion-del-mapa-nacional-de-superficie-agricola-mnsa","data/processed/land_physical.csv","District UBIGEO","2024","ALL","CERTIFIED_EXACT_OFFICIAL","The local frozen table has 61 district rows and 706379.292651 ha sourced to interpretation of Planet and Google Earth imagery by DGESEP-MIDAGRI.","Physical agricultural footprint is not the same as currently cultivated, irrigated, expansion, or freely reallocable area.","Candidate land-capacity ceiling only under a physical-footprint interpretation."
"C0B-E005","LAND","MNSA is a statistical reference map, not proof of freely reallocable land.","TIER_1","MIDAGRI","MIDAGRI publica actualizacion del Mapa Nacional de Superficie Agricola","2025-02-03","https://www.gob.pe/institucion/midagri/noticias/1102269-midagri-publica-actualizacion-del-mapa-nacional-de-superficie-agricola-mnsa","","National, department, province, district","2024","ALL","CERTIFIED_EXACT_OFFICIAL","MIDAGRI states the MNSA groups permanent crops, transient crops, fallow/rest, cultivated and uncultivated agricultural lands and is used for SIEA statistical operations.","The source does not identify crop-specific reallocable area or expansion area.","Critical warning: physical agricultural area equals freely reallocable land is FALSE."
"C0B-E006","LAND","RM 0026-2025 updates the MNSA by department, province and district and makes it referential for SIEA statistical use.","TIER_1","MIDAGRI","Resolucion Ministerial N. 0026-2025-MIDAGRI","2025-01-31","https://www.gob.pe/institucion/midagri/normas-legales/6426915-0026-2025-midagri","","Department / province / district","2024","ALL","CERTIFIED_EXACT_OFFICIAL","Article 1 updates the MNSA by department, province and district; Article 2 states it is referential for SIEA statistical use.","Referential statistical use is not a legal land-allocation maximum.","PDF was scanned; visual inspection confirmed article text."
"C0B-E007","BASELINE_CROP_STOCK","Frozen panel_master provides historical district-crop-year area variables for the five target crops.","TIER_1","REPOSITORY_FROZEN_STAGE_B","panel_master.csv target-crop inventory","2016-2023","", "data/processed/panel_master.csv","District UBIGEO x crop","Annual 2016-2023","ALL","CERTIFIED_EXACT_OFFICIAL","Target coverage: rice 340 rows/46 districts; maize amarillo duro 405/55; mango 255/36; limon 311/44; banana 390/54.","Historical observed rows are not current land capacity and do not prove free reallocation.","Uses C0B local inventory only, not C0A adjudication."
"C0B-E008","BASELINE_CROP_STOCK","Raw agricultural QA supports monthly source coverage and ANO-MES integrity for upstream agricultural records.","TIER_1","REPOSITORY_FROZEN_QA","raw_agricultural_audit.json","2015-08 to 2024-12","", "outputs/qa/raw_agricultural_audit.json","District-month source records","Monthly 2015-08 to 2024-12","ALL","CERTIFIED_EXACT_OFFICIAL","QA reports 124514 raw rows, 96 crops, 55 raw districts, first month 2015-08, last month 2024-12 and zero ANO-MES mismatches.","This is source coverage evidence, not decision feasibility by itself.","Upstream file was read only."
"C0B-E009","BASELINE_CROP_STOCK","SIEMBRA and COSECHA are transient flow-like area measures; perennial installed stock evidence remains separate.","TIER_1","REPOSITORY_FROZEN_STAGE_B","panel_master.csv columns and phenology windows","2016-2023","", "data/processed/panel_master.csv; data/processed/phenology/phenology_windows_frozen.csv","District UBIGEO x crop","Annual / phenological architecture","ALL","SUPPORTED_PRIMARY_OFFICIAL","The frozen data expose SOWN_AREA, HARVEST_AREA and VERDE_ACTUAL separately; phenology freezes rice and maize as sowing-cohort architectures and mango/limon/banana as perennial or continuous architectures.","VERDE_ACTUAL is not accepted as hectares in C0B without independent unit support.","C0B does not import C0A unit adjudications."
"C0B-E010","PCR","PCR 2025-2026 reports programmed regional agricultural areas by crop group and agency.","TIER_1","GORE_PIURA_DRAP","Resolucion Directoral Regional N. 395-2025/Gobierno Regional Piura-DRA-DR","2025-09-18","https://www.gob.pe/institucion/regionpiura-dra/normas-legales/7251258-n-395-2025-gobierno-regional-piura-dra-dr","","Agencias Agrarias","2025-08 to 2026-07","ALL","CERTIFIED_EXACT_OFFICIAL","The annex summary reports 259690 ha total: 73927 permanent, 59925 semipermanent, 125838 transient; agency totals include Piura 33933, Chulucanas 57921, San Lorenzo 54264, Chira 59064, Huancabamba 21730, Huarmaca 12659 and Ayabaca 20119 ha.","Agency areas are not UBIGEO district areas and are not automatic legal maxima.","PDF was scanned; visual inspection of page 8 was used."
