"CONSTRAINT_ID","CONSTRAINT_DOMAIN","CANDIDATE_CONSTRAINT","TARGET_CROP","SOURCE_EVIDENCE_IDS","UNIT","SOURCE_SPATIAL_UNIT","MODEL_SPATIAL_UNIT","SPATIAL_FIT","TEMPORAL_FIT","EVIDENCE_STATUS","DECISION_ROLE","REQUIRED_CROSSWALK","KEY_ASSUMPTION","CRITICAL_GAP","NEXT_EVIDENCE_NEEDED","NOTES"
"C0B-C001","LAND","District physical agricultural footprint may cap total modeled agricultural area only as a physical footprint ceiling after decision-variable ontology is adjudicated.","ALL","C0B-E004;C0B-E005;C0B-E006","ha","District UBIGEO","District UBIGEO","EXACT_DISTRICT","Static 2024 reference","CERTIFIED_EXACT_OFFICIAL","UNRESOLVED","NONE","AREA_HA is a physical agricultural footprint, not reallocable area or cumulative campaign area.","DECISION_VARIABLE_ONTOLOGY_NOT_FROZEN; physical footprint cannot be used as a cumulative campaign-area cap until x[d,c] ontology distinguishes physical occupancy from campaign flows.","Decision-variable ontology gate must determine whether any future land variable represents SIMULTANEOUS_LAND_OCCUPANCY, CAMPAIGN_SOWN_AREA, HARVESTED_AREA, transient flows, perennial stocks, or another construct.","PHYSICAL_AGRICULTURAL_FOOTPRINT, CURRENTLY_CULTIVATED_AREA, REALLOCABLE_AREA, CAMPAIGN_SOWN_AREA, HARVESTED_AREA and SIMULTANEOUS_LAND_OCCUPANCY are distinct and not interchangeable."
"C0B-C002","LAND","Freely reallocable district crop land.","ALL","C0B-E004;C0B-E005","ha","District UBIGEO","District UBIGEO","EXACT_DISTRICT","Static 2024 reference","UNRESOLVED","EXCLUDE_FROM_MODEL","NONE","Would require proof that land can be reassigned across crops in the planning period.","No official evidence identifies reallocable hectares by district.","Official current-use, tenure, irrigation-service and perennial-stock evidence.","Exclude as hard constraint in C0B.0."
"C0B-C003","BASELINE_CROP_STOCK","Historical transient planting/harvest area can inform baseline ranges for rice and maize.","RICE;MAD","C0B-E007;C0B-E008;C0B-E009","ha","District UBIGEO x crop","District UBIGEO x crop","EXACT_DISTRICT","Annual 2016-2023, not current campaign","CERTIFIED_EXACT_OFFICIAL","SOFT_CONSTRAINT_CANDIDATE","NONE","Historical SIEMBRA/HARVEST_AREA are relevant flow evidence for transient crops.","Does not prove current policy baseline or allowed movement.","Define baseline year/window and whether outliers/shocks are retained.","No optimizer variable or bound is built."
"C0B-C004","BASELINE_CROP_STOCK","Installed/standing crop-stock baseline for mango, limon and banana.","MANGO;LEMON;BANANA","C0B-E009;C0B-E024;C0B-E026","ha or stock proxy","District UBIGEO x crop","District UBIGEO x crop","EXACT_DISTRICT","Annual 2016-2023, not current campaign","UNRESOLVED","UNRESOLVED","NONE","VERDE_ACTUAL would need independent unit support to become hectares.","C0B.0 cannot use VERDE_ACTUAL silently as hectares and cannot import C0A.","Exact official unit/stock evidence or alternative stock dataset.","Perennial free reallocation in one planning period is not authorized."
"C0B-C005","PCR","PCR 2025-2026 agency total programmed hectares may inform regional consistency checks.","ALL","C0B-E010;C0B-E011","ha","Agencias Agrarias","District UBIGEO","CROSSWALK_REQUIRED","Campaign Aug-Jul","CERTIFIED_EXACT_OFFICIAL","SOFT_CONSTRAINT_CANDIDATE","AGENCIA_TO_UBIGEO","PCR programmed area is a planning/program quantity, not a legal district maximum.","No official agency-to-district allocation rule in the package.","Official agency-district/cultivation-area crosswalk and interpretation of program versus constraint.","PCR hectares are not legal district maxima by default."
"C0B-C006","PCR","PCR crop-specific agency programs for target crops may inform crop availability/context.","ALL","C0B-E012","ha","Agencias Agrarias x crop","District UBIGEO x crop","CROSSWALK_REQUIRED","Campaign 2025-2026","CERTIFIED_EXACT_OFFICIAL","SOFT_CONSTRAINT_CANDIDATE","AGENCIA_TO_UBIGEO","Target crop appears in the PCR annex at agency level.","No UBIGEO district mapping and no maximum/obligation status.","Official crop-by-district PCR annex or reproducible crosswalk.","Use as planning context unless C0B.1 obtains crosswalk."
"C0B-C007","WATER_AVAILABILITY","Chira-Piura PADH agrarian Hm3 as district water hard constraint.","ALL","C0B-E013","Hm3","Hydraulic system Chira Piura","District UBIGEO","AGGREGATE_ONLY","Aug 2025-Jul 2026","CERTIFIED_EXACT_OFFICIAL","EXCLUDE_FROM_MODEL","HYDRAULIC_SYSTEM_TO_UBIGEO","Would require a defensible district water allocation rule.","No official district allocation weights; system does not cover all Piura districts.","Official service-area and delivery/allocation crosswalk by district/crop.","Area-share division is NOT_AUTHORIZED."
"C0B-C008","WATER_SPATIAL_CROSSWALK","Hydraulic-system membership indicator by district.","ALL","C0B-E015;C0B-E016;C0B-E018;C0B-E019","categorical","Hydraulic systems / agencies / user boards","District UBIGEO","CROSSWALK_REQUIRED","Current / campaign","UNRESOLVED","UNRESOLVED","HYDRAULIC_SYSTEM_TO_UBIGEO","Districts can be mapped to one or more hydraulic systems only with official crosswalk evidence.","Relationship is UNKNOWN and may be many-to-many.","Official GIS/administrative crosswalk for systems, Juntas, sectors, commissions and districts.","Do not invent weights."
"C0B-C009","HYDRAULIC_SYSTEM","Multiple-system feasibility flag separating Chira-Piura, San Lorenzo and Alto Piura contexts.","ALL","C0B-E014;C0B-E015;C0B-E016;C0B-E017","categorical","Hydraulic system / Junta","District UBIGEO or system stratum","CROSSWALK_REQUIRED","Current / campaign","SUPPORTED_PRIMARY_OFFICIAL","HARD_CONSTRAINT_CANDIDATE","HYDRAULIC_SYSTEM_TO_UBIGEO","Model documentation must not collapse all districts into Poechos/Chira-Piura.","District membership is incomplete.","Official system service-area crosswalk.","Hard interpretation constraint, not an optimizer equation."
"C0B-C010","CROP_WATER_REQUIREMENT","Crop water-requirement coefficients for five target crops.","ALL","C0B-E022;C0B-E023","mm or m3/ha","Nonspatial technical standard","District UBIGEO x crop","NONSPATIAL","Generic; local climate-stage adaptation required","SUPPORTED_TECHNICAL","SENSITIVITY_ONLY","CLIMATE_CROP_SOIL_TO_DISTRICT","FAO methods can support technical sensitivity coefficients after local adaptation.","No Piura official operational coefficients or irrigation efficiency by district/crop.","Local ETo, rainfall, soil, crop coefficient and irrigation-efficiency evidence.","No coefficients are constructed in C0B.0."
