CHECK_ID,DOMAIN,C0A_CONTRACT,C0B6_OR_UPSTREAM_CONTRACT,COMPATIBILITY_STATUS,REQUIRED_GATE,RATIONALE
JC0-C001,PRODUCCION_UNIT,METRIC_TONNE,PHYSICAL_QUANTITY_REQUIRED_LATER,PASS,NONE,C0A supplies the missing physical mass unit.
JC0-C002,YIELD_UNIT,TM_PER_HA_HARVESTED,A1_A2_AREA_IS_SOWN_HA,PASS_WITH_GATE,SOWN_TO_HARVESTED_AREA_MAPPING,Dimensional units align but area semantics differ.
JC0-C003,TRANSIENT_TIME,MONTHLY_SOURCE,AUG_JUL_CAMPAIGN_OUTCOME,PASS_WITH_GATE,TRANSIENT_OUTCOME_MASTER,Campaign ratio is defined and not built.
JC0-C004,TRANSIENT_EXPOSURE,NO_MODEL_SELECTED,COHORT_PRIMARY_DATA_PRODUCT_STRICT_AUDIT_LAYER,PASS_WITH_GATE,PRIMARY_TRANSIENT_ECONOMETRIC_EXPOSURE_SELECTION,Stage B did not select the econometric exposure.
JC0-C005,PERENNIAL_TIME,ANNUAL_YIELD_RATIO,CALENDAR_YEAR_EXPOSURES,PASS,ECONOMETRIC_DESIGN_FREEZE,Outcome and exposure keys match exactly.
JC0-C006,PERENNIAL_STATE,VERDE_ACTUAL_STOCK_SNAPSHOT,PERENNIALS_EXOGENOUS_OUTSIDE_A1_A2,PASS,NONE,No productive-stock inference is needed for the outcome model.
JC0-C007,DUAL_LAYER,FIVE_CROP_CHARACTERIZATION,RICE_MAD_REFERENCE_STRESS_TEST,PASS,NONAGGREGATION_FIREWALL,The linked layers retain different crop scopes.
JC0-C008,ALTERNATIVES,NO_OUTCOME_BASED_SELECTION,TWO_PRESPECIFIED_REFERENCE_CONFIGURATIONS,PASS,NONE,A1/A2 remain frozen and outcome independent.
JC0-C009,TIMING,NO_GENERIC_MONTHLY_YIELD,ALTERNATIVE_SPECIFIC_SIEMBRA_WEIGHTS,PASS_WITH_GATE,SCENARIO_EXPOSURE_BUILD,Frozen timing weights can drive future phenology exposure construction.
JC0-C010,PRICE_UNIT,S_PER_KG,QUANTITY_TM,PASS_WITH_GATE,KG_PER_TM_CONVERSION,TM x 1000 kg/TM x S/kg is soles.
JC0-C011,PRICE_TIME,NO_TEMPORAL_RULE,CAMPAIGN_AND_CALENDAR_OUTCOMES,PASS_WITH_GATE,PRICE_MAPPING_GATE,No price matching or future price rule is frozen.
JC0-C012,NOMINAL_VALUE,OBSERVATION_PERIOD_SOLES,INTERTEMPORAL_COMPARISON_PENDING,PASS_WITH_GATE,MONETARY_TREATMENT_GATE,No deflation or normalization rule is selected.
JC0-C013,GVP,DIMENSIONALLY_AUTHORIZED_NOT_BUILT,NO_ECONOMIC_OUTPUT,PASS,NUMERICAL_ECONOMIC_TRANSLATION_GATE,Only quantity times price is structurally authorized.
JC0-C014,FIVE_CROP_AGGREGATION,NOT_BUILT,NOT_AUTHORIZED,PASS,FORMAL_ARCHITECTURE_REOPEN,Five crop availability does not define a portfolio.
JC0-C015,RISK,NO_RISK_METRICS,TRANSIENT_BLOCK_ONLY,PASS,POST_ESTIMATION_RISK_GATE,Perennials cannot be assumed to cancel in CVaR.
JC0-C016,LAND,YIELD_PER_HARVESTED_HA,NO_LAND_CAP_OR_BOUNDS,PASS,NONE,Joint C0 performs no land feasibility inference.
JC0-C017,WATER,NO_WATER_OUTCOME,WATER_MODEL_NOT_AUTHORIZED,PASS,FORMAL_ARCHITECTURE_REOPEN,No water quantity or entitlement is inferred.
JC0-C018,IDENTIFICATION,NO_CAUSAL_AUTHORIZATION,REFERENCE_STRESS_TEST_NOT_CAUSAL,PASS,ECONOMETRIC_DESIGN_FREEZE,Maximum claim is empirical association/climate response.
JC0-C019,SUPPORT,SHORT_UNBALANCED_PANEL,FUTURE_SCENARIOS_PENDING,PASS_WITH_GATE,EMPIRICAL_SUPPORT_ENVELOPE,Out-of-support prediction is not authorized.
JC0-C020,RQ_ARCHITECTURE,FIVE_CROP_CHARACTERIZATION,RICE_MAD_STRESS_TEST,PASS,RQ_REFRAME_AT_DESIGN_FREEZE,Two linked questions are supported without merging scopes.
