CHECK_ID,DOMAIN,EXPECTED,OBSERVED,STATUS,CRITICALITY,NOTES
C0B6-001,C0B5_PARENT_SHA,b6df2fbf4d0ec948afc544cf2da134cc44314aef,b6df2fbf4d0ec948afc544cf2da134cc44314aef,PASS,CRITICAL,Frozen parent identity.
C0B6-002,ALTERNATIVE_1_IDENTITY,C0B5-A2020-2021|2020/2021,C0B5-A2020-2021|2020/2021,PASS,CRITICAL,A1 is unchanged.
C0B6-003,ALTERNATIVE_2_IDENTITY,C0B5-A2023-2024|2023/2024,C0B5-A2023-2024|2023/2024,PASS,CRITICAL,A2 is unchanged.
C0B6-004,DISTRICT_SUPPORT,13 exact frozen UBIGEO,13,PASS,CRITICAL,No scope reduction or expansion.
C0B6-005,REFERENCE_CONFIGURATION_CROP_SCOPE,RICE_MAD_TRANSIENT_ONLY,RICE_MAD_TRANSIENT_ONLY,PASS,CRITICAL,Perennials are not comparator components.
C0B6-006,TRANSIENT_MONTHLY_ROW_COUNT,624,624,PASS,CRITICAL,2 alternatives x 13 districts x 2 crops x 12 months.
C0B6-007,TRANSIENT_CELL_COMPLETENESS,52/52,52/52,PASS,CRITICAL,All alternative-district-crop profiles are present.
C0B6-008,TRANSIENT_MISSING_CELLS,0,0,PASS,CRITICAL,No missing profile.
C0B6-009,TRANSIENT_MISSING_TO_ZERO,FALSE,FALSE,PASS,CRITICAL,Source absence or blank is never converted to zero.
C0B6-010,A1_TIMING_PROFILE_COMPLETENESS,26/26,26/26,PASS,CRITICAL,Alternative-specific source timing only.
C0B6-011,A2_TIMING_PROFILE_COMPLETENESS,26/26,26/26,PASS,CRITICAL,Alternative-specific source timing only.
C0B6-012,SHARE_NORMALIZATION,26/26 each alternative,"{""C0B5-A2020-2021"": 26, ""C0B5-A2023-2024"": 26}",PASS,CRITICAL,Decimal-28 shares close exactly to one.
C0B6-013,DISTRICT_MIX_AND_MATCH,FALSE,FALSE,PASS,CRITICAL,Each alternative retains exact district profiles.
C0B6-014,CROP_YEAR_MIXING,FALSE,FALSE,PASS,CRITICAL,Each alternative uses one source campaign.
C0B6-015,TIMING_PROFILE_MIXING,FALSE,FALSE,PASS,CRITICAL,No pooling or profile transfer.
C0B6-016,TRANSIENT_TOTAL_RECONCILIATION,15213,15213,PASS,CRITICAL,ALTERNATIVE_ID=C0B5-A2020-2021;CROP_CODE=14010020000
C0B6-017,TRANSIENT_TOTAL_RECONCILIATION,5704,5704,PASS,CRITICAL,ALTERNATIVE_ID=C0B5-A2020-2021;CROP_CODE=14010070000
C0B6-018,TRANSIENT_TOTAL_RECONCILIATION,22592,22592,PASS,CRITICAL,ALTERNATIVE_ID=C0B5-A2023-2024;CROP_CODE=14010020000
C0B6-019,TRANSIENT_TOTAL_RECONCILIATION,5937,5937,PASS,CRITICAL,ALTERNATIVE_ID=C0B5-A2023-2024;CROP_CODE=14010070000
C0B6-020,SELECTED_SCOPE_ARCHITECTURE,S1_TRANSIENT_REFERENCE_CONFIGURATION_STRESS_TEST_WITH_PERENNIAL_RISK_ANALYZED_SEPARATELY,S1_TRANSIENT_REFERENCE_CONFIGURATION_STRESS_TEST_WITH_PERENNIAL_RISK_ANALYZED_SEPARATELY,PASS,CRITICAL,S1 was selected by formal scope adjudication.
C0B6-021,PERENNIAL_BASELINE_UNAVAILABLE,COMMON_COMPLETE=FALSE;MAX=38/39,COMMON_COMPLETE=FALSE;MAX=38/39,PASS,CRITICAL,The evidence fact is preserved without materializing a block.
C0B6-022,PERENNIALS_EXCLUDED_FROM_COMPARATOR,TRUE,TRUE,PASS,CRITICAL,"Mango, lemon and banana remain outside A1/A2."
C0B6-023,FIVE_CROP_A1_A2_AGGREGATION,NOT_AUTHORIZED,NOT_AUTHORIZED,PASS,CRITICAL,A1/A2 metrics are transient-block metrics only.
C0B6-024,COMMON_PERENNIAL_CVAR_CANCELLATION,FALSE,FALSE,PASS,CRITICAL,A common random component is not assumed to cancel in nonlinear tail risk.
C0B6-025,NO_OUTCOME_LEAKAGE,PASS,PASS,PASS,CRITICAL,No outcome or downstream performance selects construction choices.
C0B6-026,NO_LAND_CAPACITY_INFERENCE,PASS,PASS,PASS,CRITICAL,No AREA_HA inequality or capacity test is performed.
C0B6-027,NO_WATER_MODEL,PASS,PASS,PASS,CRITICAL,"No water quantity, service fraction or feasibility model."
C0B6-028,NO_OPTIMIZATION,PASS,PASS,PASS,CRITICAL,"No objective, ranking, interpolation or optimizer."
C0B6-029,FINAL_C0B6_STATUS,PASS_FOR_INDEPENDENT_C0B6_REBUILD_AUDIT,PASS_FOR_INDEPENDENT_C0B6_REBUILD_AUDIT,PASS,CRITICAL,Transient reference configuration master is ready for independent audit.
