EVIDENCE_ID,EVIDENCE_DOMAIN,SOURCE_TIER,SOURCE_AUTHORITY,SOURCE_TITLE,SOURCE_DATE,SOURCE_URL,PAGE_OR_SECTION,GEOGRAPHIC_LEVEL,TEMPORAL_SCOPE,CROP_SCOPE,RAW_TERM,EXACT_FINDING,QUANTITATIVE_VALUE,UNIT,ROUTE_RELEVANCE,MODEL_ADMISSIBILITY,LIMITATION,NOTES
"C0B5-E001","FINITE_DECISION_SET","P1_FROZEN","C0B4 frozen master","C0B4 Transient Land Occupancy and Adjustment Feasibility Master","2026-08-21","repository://config/decision_ontology/transient_land_adjustment_v1.json","future_decision_domain_gate","55 Piura model districts","C0B4 freeze","ARROZ;MAIZ AMARILLO DURO","FINITE_PRESPECIFIED_OBSERVED_PORTFOLIOS","C0B4 authorizes no continuous numerical domain and identifies finite prespecified observed portfolios for supported districts as a future candidate requiring formal scope adjudication.","","","ROUTE_B_GATE","FROZEN_GATE_INPUT","C0B4 selects no portfolio and certifies no future physical feasibility.","C0B4_FREEZE=c7ac7b870cf76d6ed2d199d5619e07f6bb32f6cb; C0B4_CONFIG_SHA256=e96ca212221a7ebf8262fb8b7bff04d142a51c999dccecc5543e3378f288fa7e"
"C0B5-E002","PROSPECTIVE_PLANTING_INTENTION","P1_OFFICIAL","MIDAGRI DGESEP","MIDAGRI inicia la Encuesta Nacional de Intenciones de Siembra para la campana agricola 2026/2027","2026-05-03","https://www.gob.pe/institucion/midagri/noticias/1386511-midagri-inicia-la-encuesta-nacional-de-intenciones-de-siembra-para-la-campana-agricola-2026-2027","Official release","National field operation covering agricultural districts","2026/2027 campaign","ARROZ;MAIZ AMARILLO DURO","intenciones de siembra; cuando; cuanto; donde","ENIS 2026 collected prospective planting intentions for Rice and MAD in agricultural districts and planned publication after validation.","23","crop","ROUTE_A_BASELINE_SCREEN","CONTEXT_ONLY","The release contains no numeric Piura district-crop table and no permitted adjustment interval.","A planting intention is not physical capacity, a hard bound, a minimum commitment, or proof of realizability. Campaign runs 2026-08-01 through 2027-07-31."
"C0B5-E003","PROSPECTIVE_PLANTING_INTENTION","P1_OFFICIAL","MIDAGRI","MIDAGRI proyecta mas de 2 millones de hectareas de siembra impulsadas por maiz papa y frijol","2026-07-15","https://www.gob.pe/institucion/midagri/noticias/1418927-midagri-proyecta-mas-de-2-millones-de-hectareas-de-siembra-impulsadas-por-maiz-papa-y-frijol","Official results release","National and department summaries","2026/2027 campaign","23 transient crops including ARROZ and MAIZ AMARILLO DURO","resultados ENIS; intencion de siembra","The public results release reports survey coverage and national or department summaries; it does not publish numeric Piura district Rice and MAD configurations or an adjustment envelope.","1804","district","ROUTE_A_BASELINE_SCREEN;ROUTE_B_PLANNING_ALTERNATIVE_SCREEN","OFFICIAL_NON_DISTRICT_BASELINE_NOT_USABLE","Piura's Rice participation is department-level; no district Rice/MAD table or multiple programmed district configurations appears on the release.","Survey fieldwork covered 24 departments, 193 provinces, 1804 districts and 7061 statistical sectors. National totals are not disaggregated to Piura districts."
"C0B5-E004","CAMPAIGN_COMPLETENESS","P1_OFFICIAL","MIDAGRI DGESEP-DEIA","Instructivo para la Encuesta Nacional de Intenciones de Siembra ENIS 2025","2025-04-24","https://siea.midagri.gob.pe/portal/media/attachments/2025/04/24/lineamiento_metodologico_enis_2025.pdf","Sections I-III","National; district and statistical-sector collection design","2025/2026 methodological predecessor","Transient crops","distritos; sectores estadisticos; intenciones de siembra","The official ENIS methodology establishes district and statistical-sector collection coverage and a standardized statistical operation.","","","ROUTE_A_COVERAGE_SEMANTICS","METHODOLOGICAL_CONTEXT_ONLY","Methodological collection coverage does not itself publish Piura district values or make intentions binding capacity or adjustment limits.","Used only to distinguish collection design from publicly available numerical evidence."
"C0B5-E005","OFFICIAL_PROGRAMMED_AREA","P1_OFFICIAL","GORE Piura DRAP","GORE Piura aporto datos claves para la planificacion agricola periodo 2025-2026","2025-10-11","https://www.gob.pe/institucion/regionpiura-dra/noticias/1262451-gore-piura-aporto-datos-claves-para-la-planificacion-agricola-periodo-2025-2026","Official release","Piura department","2025/2026 campaign","ARROZ;MAIZ;PAPA;YUCA;QUINUA","reportes regionales; proyectar areas de siembra","DRAP supplied regional field information for the national crop-orientation framework.","","","ROUTE_A_BASELINE_SCREEN","OFFICIAL_NON_DISTRICT_BASELINE_NOT_USABLE","The release provides no district-crop numeric baseline, permitted adjustment range, or multiple district configurations.","Regional planning evidence cannot be silently disaggregated to districts."
"C0B5-E006","HISTORICAL_CONFIGURATION","P1_REPOSITORY_AUDIT","GORE Piura DRAP source data","Campana agricola de los principales cultivos de la region Piura","2025-05-27","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","UBIGEO x crop x month","Piura districts","2015-08 through 2024-12","ARROZ;MAIZ AMARILLO DURO","SIEMBRA","The immutable source contains nine complete August-July campaign candidates. Missing rows or blank SIEMBRA remain missing; only present numeric rows, including explicit zero, are admissible.","9","campaign","ROUTE_B_CANDIDATE_UNIVERSE","CANDIDATE_SOURCE","No campaign is complete for both crops across all 55 model districts, and historical realization is not guaranteed future feasibility.","RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489; no outcome fields used."
"C0B5-E007","DISTRICT_COVERAGE","P1_REPOSITORY_AUDIT","C0B5 deterministic coverage audit","Outcome-independent common-scope maximization","2026-08-21","repository://scripts/c0b5_decision_domain_preflight.py","compute_finite_portfolio_audit","13 coverage-qualified Piura districts","Nine campaigns tested; two admitted","ARROZ;MAIZ AMARILLO DURO","12 present numeric SIEMBRA months per district crop campaign","Maximizing common district coverage subject to at least two complete campaigns identifies 13 districts and admits exactly 2020/2021 and 2023/2024; no district values are mixed across campaigns.","13","district","ROUTE_B_SPATIAL_SCOPE","MODEL_ADMISSIBLE_REFERENCE_SET","The reduced scope is not all Piura and cannot support claims for the other 42 model districts.","Tie order is campaign count then lexicographic campaign IDs; the maximum-scope pair is unique. Selection uses coverage only."
"C0B5-E008","TIMING_PROFILE","P1_REPOSITORY_AUDIT","C0B5 deterministic source audit","Source-observed timing profiles for admitted alternatives","2026-08-21","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","Two campaigns x 13 districts x 2 crops x 12 months","13 coverage-qualified Piura districts","2020/2021;2023/2024","ARROZ;MAIZ AMARILLO DURO","monthly SIEMBRA","Both admitted configurations contain all 312 district-crop-campaign-month values and positive campaign totals for every district-crop profile; source-observed monthly shares therefore normalize without an invented generic T3 rule.","624","value","ROUTE_B_TIMING","MODEL_ADMISSIBLE_WITHIN_SELECTED_REFERENCE_CONFIGURATIONS","Timing is specific to each admitted historical configuration and does not authorize a generic future T3 rule.","CONFIGURATION_SHA256_2020_2021=d9d1481588d73535716b71de732586d0acf9f12e7316358aafb996de9845bc93; CONFIGURATION_SHA256_2023_2024=9750808bed2848863a5a739ce1d9209f6f46df9b6375485a749a1930eb97144e"
"C0B5-E009","FINITE_DECISION_SET","P1_REPOSITORY_AUDIT","C0B5 hierarchical adjudication","Finite prespecified empirically realized reference-configuration authorization test","2026-08-21","repository://outputs/decision_feasibility/C0B5_ROUTE_ADJUDICATION.csv","ROUTE_B","13 coverage-qualified Piura districts","Two frozen reference campaigns","ARROZ;MAIZ AMARILLO DURO","EMPIRICALLY_REALIZED_REFERENCE_CONFIGURATIONS","The two alternatives pass B1-B10 as a finite reference set: fully specified, outcome-independent, non-interpolated, no mix-and-match, no future physical- or institutional-feasibility claim, fixed perennials, no water claim, and no ranking.","2","alternative","ROUTE_B_AUTHORIZATION","ARCHITECTURE_SUPPORTED","Authorization applies to prospective risk stress testing of two fixed references, not continuous crop allocation optimization; source observation certifies historical realization only.","FINITE_REFERENCE_COMPARISON_NE_CONTINUOUS_OPTIMIZATION; no route preference scoring; future feasibility not certified."
"C0B5-E010","OTHER","P1_FROZEN","C0B3 frozen perennial master","C0B3 Perennial Stock Productivity and Adjustment Master","2026-08-20","repository://config/decision_ontology/perennial_state_adjudication_v1.json","P3 resolution and baseline initialization","Piura model districts","Near-term future architecture","MANGO;LIMON SUTIL;PLATANOS Y BANANAS","P3_FIXED_STOCK_NEAR_TERM_HORIZON","Perennial installed stocks remain fixed and exogenous; baseline measurement and initialization are allowed but no numeric future perennial baseline is frozen in C0B5.","0","altered perennial stock","ROUTE_B_FIXED_PERENNIAL_FIREWALL","FROZEN_GATE_INPUT","A separate numeric initialization gate remains before downstream analysis that requires perennial values.","C0B3_CONFIG_SHA256=35d752b94b2aaf29e3b7f1512fa817ca18af8c817455a60467a1cc31cab2e86e"
"C0B5-E011","RQ_COMPATIBILITY","P1_REPOSITORY_AUDIT","Repository working research title","Optimizing Agricultural Economic Value under El Nino 2026-2027 Risk in Piura Peru","2026-08-21","repository://README.md","Working research title","Piura district-level study","Prospective study","Five target crops","Spatial Mean-CVaR Crop Allocation","The working title names continuous optimization and crop allocation, while the supported architecture is a prospective risk stress test of two prespecified empirically realized Rice/MAD reference configurations on 13 coverage-qualified districts.","","","RQ_REFRAMING","MATERIAL_REFRAMING_REQUIRED","The current title cannot remain unchanged without overstating architecture and spatial scope.","Future language must use prespecified empirically realized reference configurations and finite reference-configuration comparison; no title or frozen upstream file is edited in C0B5."
